id,timestamp_created,timestamp_updated,organization,campaign,status,contact,email_opened,email_replied,lt_interest_status,subsequence_id,verification_status,pl_value_lead,email_clicked,timestamp_added_subsequence,timestamp_last_contact,timestamp_last_open,timestamp_last_reply,timestamp_last_interest_change,email_open_count,email_reply_count,timestamp_last_click,email_click_count,enrichment_status,list_id,last_contacted_from,company_domain,uploaded_by_user,upload_method,assigned_to,is_website_visitor,timestamp_last_touch,esp_code,phone_numbers,supersearch_enrichment_status,esg_code,completion_reason,is_suppressed,naf,city,type,Email,niche,siren,siret,service,website,category,effectif,subniche,subtypes,First Name,lead_score,companyName,annee_creation,forme_juridique,chiffre_affaires,tranche_effectif,taille_entreprise,Email Provider,Assignee Email,Assignee Name,Lead Status,Interest Status,Verification Status,Last contacted from
01a0b505-9400-7486-94c2-157ed95c920b,2026-09-18T14:57:16.800Z,2026-09-18T16:24:39.489Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@lsm-annuaires.com,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,lsm-annuaires.com,,api,,,,999,[],,,,false,,Mazeyrat-d'Allier,Earth works company,contact@lsm-annuaires.com,Terrassement / VRD (France),,,Terrassement / VRD,delorme-tp.fr/%3futm_source%3dgmb,Société de travaux publics,,Terrassement / VRD (France),"Earth works company, Road construction company",Delorme,,Delorme SARL,,,,,,999,,,Active | Not yet contacted,Lead,,
01a0b4fa-781c-7a64-a23d-b7d4e67dd200,2026-09-18T14:45:08.765Z,2026-09-18T16:23:51.899Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@inova-web.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,inova-web.fr,,api,,,,1,[],,,,false,,Wittelsheim,Earth works company,contact@inova-web.fr,Terrassement / VRD (France),,,Terrassement / VRD,kingtp.fr,Entreprise de terrassement,,Terrassement / VRD (France),Earth works company,King,,King TP,,,,,,1,,,Active | Not yet contacted,Lead,,
01a0b505-9960-7793-8e3e-ab5f2d0f2379,2026-09-18T14:57:18.177Z,2026-09-18T16:22:44.073Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,comparcomtech@gmail.com,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,comparcomtech@gmail.com,,api,,,,1,[],,,,false,,Saint-Hilaire-Bonneval,Earth works company,comparcomtech@gmail.com,Terrassement / VRD (France),,,Terrassement / VRD,terrassement-sthilairebonneval.fr,Entreprise de terrassement,,Terrassement / VRD (France),"Earth works company, Construction equipment supplier, Masonry contractor, Road construction company",Boris,,Boris Nadaud,,,,,,1,,,Active | Not yet contacted,Lead,,
01a0b4fb-27f6-75d9-94f7-78dea4b59ffa,2026-09-18T14:45:53.782Z,2026-09-18T16:23:35.556Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@simplebo.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,simplebo.fr,,api,,,,1,[],,,,false,,Orgeval,Earth works company,contact@simplebo.fr,Terrassement / VRD (France),,,Terrassement / VRD,terrem.fr,Entreprise de VRD,,Terrassement / VRD (France),"Earth works company, Utility contractor, Steel framework contractor",TERREM,,TERREM,,,,,,1,,,Active | Not yet contacted,Lead,,
01a0b502-fa10-75bf-a09c-a9cd71022631,2026-09-18T14:54:26.320Z,2026-09-18T16:26:54.469Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@local.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,local.fr,,api,,,,2,[],,,,false,,Le Fousseret,Earth works company,contact@local.fr,Terrassement / VRD (France),,,Terrassement / VRD,abbaterrassement.fr,Entreprise de terrassement,,Terrassement / VRD (France),Earth works company,ABBA,,ABBA Terrassement,,,,,,2,,,Active | Not yet contacted,Lead,,
01a0b4fa-9510-7565-a4a0-86867ffb1ec3,2026-09-18T14:45:16.176Z,2026-09-18T14:45:20.730Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,webmaster@agence-wilkom.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,agence-wilkom.fr,,api,,,,999,[],,,,false,,Ruaux,Road construction company,webmaster@agence-wilkom.fr,Terrassement / VRD (France),,,Terrassement / VRD,daval-travaux-publics.fr,Société de travaux publics,,Terrassement / VRD (France),Road construction company,DAVAL,,DAVAL Travaux Publics,,,,,,999,,,Active | Not yet contacted,Lead,,
01a0b500-b62b-7071-af7a-49b5b80e6235,2026-09-18T14:51:57.868Z,2026-09-18T14:52:10.834Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@cybat.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,cybat.fr,,api,,,,999,[],,,,false,,Paris,Gas installation service,contact@cybat.fr,Terrassement / VRD (France),,,Terrassement / VRD,detection-fuite-expert.fr,Service d'installation de gaz,,Terrassement / VRD (France),"Gas installation service, Gasfitter, Heating contractor, Plumber",Entreprise,,"Entreprise recherche de fuites enterrés des réseaux d'eau potable (AEP) - Gaz Naturel, Chauffage au sol & Incendie Ria",,,,,,999,,,Active | Not yet contacted,Lead,,
01a0b4fa-4fc6-78c4-917b-7aa945a627c8,2026-09-18T14:44:58.440Z,2026-09-18T16:20:42.478Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,ets.roubaix@gmail.com,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,ets.roubaix@gmail.com,,api,,,,1,[],,,,false,,Paris,Sanitation service,ets.roubaix@gmail.com,Terrassement / VRD (France),,,Terrassement / VRD,etsroubaix.fr,Service d'assainissement,,Terrassement / VRD (France),"Sanitation service, Contractor, Electrician, Emergency locksmith service, General contractor, Glass & mirror shop, Heating contractor, Locksmith, Plumber, Window installation service",ETS,,ETS ROUBAIX père&fils - PARIS 75,,,,,,1,,,Active | Not yet contacted,Lead,,
01a0b4fa-8426-7786-ae02-7305c404f4b7,2026-09-18T14:45:11.846Z,2026-09-18T16:21:12.618Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@dista.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,dista.fr,,api,,,,999,[],,,,false,,Roncq,Earth works company,contact@dista.fr,Terrassement / VRD (France),,,Terrassement / VRD,decontamiante.com,Entreprise de terrassement,,Terrassement / VRD (France),"Earth works company, Asbestos testing service",Décontamiante,,Décontamiante,,,,,,999,,,Active | Not yet contacted,Lead,,
01a0b505-b99f-7d03-8284-e004eb4cc00e,2026-09-18T14:57:26.431Z,2026-09-18T16:23:31.178Z,12e1cf81-30f3-46fc-803b-547f44de3568,,1,contact@multi-web.fr,,,,,,,,,,,,,0,0,,0,,a423fed0-1896-4d51-8491-ffce592dba8d,,multi-web.fr,,api,,,,999,[],,,,false,,Saint-Léger-de-Peyre,Road construction company,contact@multi-web.fr,Terrassement / VRD (France),,,Terrassement / VRD,sallesetfils.com,Société de travaux publics,,Terrassement / VRD (France),"Road construction company, Quarry, Ready mix concrete supplier",Salles,,Salles et Fils,,,,,,999,,,Active | Not yet contacted,Lead,,
