instantly_lead_id,email,first_name,last_name,company_name,website,phone,personalization,Type,Category,Subtypes,City,Service,Niche_raw,Subniche,Siret,Siren,Effectif,Naf,FormeJuridique,AnneeCreation,ChiffreAffaires,TailleEntreprise,LeadScore,TrancheEffectif,custom_variables_json,NICHE,STATUS_FILTER,FILTER_REASON
01a08b4c-d215-799f-abe5-fa42dee4172d,info@gescolib.be,GESCOLIB,,GESCOLIB SRL,gescolib.be,,,Accounting firm,,Accounting firm,Libramont-Chevigny,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""GESCOLIB"", ""companyName"": ""GESCOLIB SRL"", ""naf"": """", ""city"": ""Libramont-Chevigny"", ""link"": """", ""type"": ""Accounting firm"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accounting firm"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/VR2eyb?email=info%40gescolib.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/VR2eyb""}",COMPTABLE,valid,include:accounting@COMPTABLE
01a08b4c-d215-799f-abe5-fa43b8c8eedc,info@fidmed.be,Fiduciaire,,Fiduciaire Médicale & Associés,fidmed.be,,,Accounting firm,,Accounting firm,Lasne,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Fiduciaire"", ""companyName"": ""Fiduciaire Médicale & Associés"", ""naf"": """", ""city"": ""Lasne"", ""link"": """", ""type"": ""Accounting firm"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accounting firm"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/WkTpIu?email=info%40fidmed.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/WkTpIu""}",COMPTABLE,valid,include:accounting@COMPTABLE
01a08b4c-d215-799f-abe5-fa447d9a1485,contact@dgta.be,Bureau,,Bureau Iannone (Digitax & Accounting),digitax-accounting.be,,,Accountant,Comptable,Accountant,Aiseau-Presles,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Bureau"", ""companyName"": ""Bureau Iannone (Digitax & Accounting)"", ""naf"": """", ""city"": ""Aiseau-Presles"", ""link"": """", ""type"": ""Accountant"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": ""Comptable"", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accountant"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/IhETFH?email=contact%40dgta.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/IhETFH""}",COMPTABLE,valid,include:accountant@COMPTABLE
01a08b4c-d215-799f-abe5-fa45b1acdc4c,info@accountax.be,AccountaX,,AccountaX,accountax.be,,,Accounting firm,Accountantskantoor,Accounting firm,Rotselaar,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""AccountaX"", ""companyName"": ""AccountaX"", ""naf"": """", ""city"": ""Rotselaar"", ""link"": """", ""type"": ""Accounting firm"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": ""Accountantskantoor"", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accounting firm"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/TDjhPg?email=info%40accountax.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/TDjhPg""}",COMPTABLE,valid,include:accounting@COMPTABLE
01a08b4c-d215-799f-abe5-fa461e9a6479,atlf.sdv@gmail.com,Accounting,,Accounting Tax Legal Finance SRL,atlf.be,,,Chartered accountant,,Chartered accountant,Courcelles,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Accounting"", ""companyName"": ""Accounting Tax Legal Finance SRL"", ""naf"": """", ""city"": ""Courcelles"", ""link"": """", ""type"": ""Chartered accountant"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Chartered accountant"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/IQsQ4b?email=atlf.sdv%40gmail.com"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/IQsQ4b""}",COMPTABLE,valid,include:accountant@COMPTABLE
01a08b4c-d215-799f-abe5-fa47bdb66f3f,ldarquennes@key-ops.be,Key-Ops,,Key-Ops,key-ops.be,,,Accountant,Comptable,Accountant,Charleroi,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Key-Ops"", ""companyName"": ""Key-Ops"", ""naf"": """", ""city"": ""Charleroi"", ""link"": """", ""type"": ""Accountant"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": ""Comptable"", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accountant"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/f7tSxa?email=ldarquennes%40key-ops.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/f7tSxa""}",COMPTABLE,valid,include:accountant@COMPTABLE
01a08b4c-d215-799f-abe5-fa48227a08a9,info@patriconsult.be,Patri-Consult,,Patri-Consult,patriconsult.be,,,Accounting firm,Cabinet d'expertise comptable,"Accounting firm, Accountant, Tax consultant, Tax preparation",Forchies-la-Marche,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Patri-Consult"", ""companyName"": ""Patri-Consult"", ""naf"": """", ""city"": ""Forchies-la-Marche"", ""link"": """", ""type"": ""Accounting firm"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": ""Cabinet d'expertise comptable"", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accounting firm, Accountant, Tax consultant, Tax preparation"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/s7DjTo?email=info%40patriconsult.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/s7DjTo""}",COMPTABLE,valid,include:expertise comptable@COMPTABLE
01a08b4c-d215-799f-abe5-fa49fb9bbde5,jacques@jbcompta.be,Fiduciaire,,Fiduciaire J.B COMPTA,jbcompta.be,,,Accounting firm,,"Accounting firm, Tax consultant",Binche,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Fiduciaire"", ""companyName"": ""Fiduciaire J.B COMPTA"", ""naf"": """", ""city"": ""Binche"", ""link"": """", ""type"": ""Accounting firm"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Accounting firm, Tax consultant"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/DjIXM2?email=jacques%40jbcompta.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/DjIXM2""}",COMPTABLE,valid,include:accounting@COMPTABLE
01a08b4c-d215-799f-abe5-fa4a0ca9d7d7,contact@ezitc.be,EZI,,EZI Tax Consulting,ezitc.be,,,Chartered accountant,,Chartered accountant,Dilbeek,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""EZI"", ""companyName"": ""EZI Tax Consulting"", ""naf"": """", ""city"": ""Dilbeek"", ""link"": """", ""type"": ""Chartered accountant"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Chartered accountant"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/Pff9h7?email=contact%40ezitc.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/Pff9h7""}",COMPTABLE,valid,include:accountant@COMPTABLE
01a08b4c-d215-799f-abe5-fa4bad9c79d0,thibaud@tvtaccountancy.be,Fiduco,,Fiduco (Tvt accountancy),tvtaccountancy.be,,,Certified public accountant,,"Certified public accountant, Accounting firm, Bookkeeping service, Tax consultant, Tax preparation",Comines-Warneton,Expertise comptable,Cabinets EC vol (Outscraper taxonomy),Cabinets EC vol (Outscraper taxonomy),,,,,,,,,,,"{""firstName"": ""Fiduco"", ""companyName"": ""Fiduco (Tvt accountancy)"", ""naf"": """", ""city"": ""Comines-Warneton"", ""link"": """", ""type"": ""Certified public accountant"", ""niche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Expertise comptable"", ""category"": """", ""effectif"": """", ""subniche"": ""Cabinets EC vol (Outscraper taxonomy)"", ""subtypes"": ""Certified public accountant, Accounting firm, Bookkeeping service, Tax consultant, Tax preparation"", ""lead_score"": """", ""confirm_link"": """", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation.html/AMb90H?email=thibaud%40tvtaccountancy.be"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-entreprise.html/AMb90H""}",COMPTABLE,valid,include:accounting@COMPTABLE
