instantly_lead_id,email,first_name,last_name,company_name,website,phone,personalization,Type,Category,Subtypes,City,Service,Niche_raw,Subniche,Siret,Siren,Effectif,Naf,FormeJuridique,AnneeCreation,ChiffreAffaires,TailleEntreprise,LeadScore,TrancheEffectif,custom_variables_json,NICHE,STATUS_FILTER,FILTER_REASON
01a0b01f-60e4-712a-ba9d-c1822bc402e4,vanecloo.ecolejdarc@wanadoo.fr,Salle,,Salle des Fêtes de Laventie,laventie.fr/les-batiments-communaux,,,Espace événementiel,Espace événementiel,Espace événementiel,Laventie,Restauration,Restaurants indépendants (France),Restaurants indépendants (France),,999999999,,,,,,,30,,"{""firstName"": ""Salle"", ""companyName"": ""Salle des Fêtes de Laventie"", ""naf"": """", ""city"": ""Laventie"", ""type"": ""Espace événementiel"", ""niche"": ""Restaurants indépendants (France)"", ""siren"": ""999999999"", ""siret"": """", ""service"": ""Restauration"", ""category"": ""Espace événementiel"", ""effectif"": """", ""subniche"": ""Restaurants indépendants (France)"", ""subtypes"": ""Espace événementiel"", ""lead_score"": ""30"", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """"}",RESTAURANT,non_valid,no_match@RESTAURANT
01a0b08e-6500-721a-944a-f2979e1b8afa,contact@baticarrelage.fr,Baticarrelage,,Baticarrelage,baticarrelage.fr,,,Carreleur,Carreleur,"Carreleur, Spécialiste de la salle de bains, Boutique de loisirs créatifs, Magasin de carrelage",Rosoy,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),53108561100014,531085611,02,43.33Z,1000,2011,,TPE,78,02,"{""firstName"": ""Baticarrelage"", ""companyName"": ""Baticarrelage"", ""naf"": ""43.33Z"", ""city"": ""Rosoy"", ""type"": ""Carreleur"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""531085611"", ""siret"": ""53108561100014"", ""service"": ""BTP / rénovation"", ""category"": ""Carreleur"", ""effectif"": ""02"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Carreleur, Spécialiste de la salle de bains, Boutique de loisirs créatifs, Magasin de carrelage"", ""lead_score"": ""78"", ""annee_creation"": ""2011"", ""forme_juridique"": ""1000"", ""chiffre_affaires"": """", ""tranche_effectif"": ""02"", ""taille_entreprise"": ""TPE""}",BTP,non_valid,excluded:magasin de carrelage@BTP
01a0b090-53e8-72eb-86b8-2b3ac3e5991d,contact@mrc-bain.fr,MRC,,MRC Valenciennes Salle de bain Cuisine Carrelage Spa,mrc-bain.fr,,,Spécialiste de la salle de bains,,"Spécialiste de la salle de bains, Cuisiniste, Hammam, Sauna, Spa en extérieur, Magasin de carrelage",Trith-Saint-Léger,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),80787536400026,807875364,02,43.22A,5499,2014,,TPE,100,02,"{""firstName"": ""MRC"", ""companyName"": ""MRC Valenciennes Salle de bain Cuisine Carrelage Spa"", ""naf"": ""43.22A"", ""city"": ""Trith-Saint-Léger"", ""type"": ""Spécialiste de la salle de bains"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""807875364"", ""siret"": ""80787536400026"", ""service"": ""BTP / rénovation"", ""category"": """", ""effectif"": ""02"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Spécialiste de la salle de bains, Cuisiniste, Hammam, Sauna, Spa en extérieur, Magasin de carrelage"", ""lead_score"": ""100"", ""annee_creation"": ""2014"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""02"", ""taille_entreprise"": ""TPE""}",BTP,non_valid,excluded:magasin de carrelage@BTP
01a0b090-53e8-72eb-86b8-2b4304fd262a,contact@bechadecarrelage.fr,Béchade,,Béchade Carrelage,bechadecarrelage.fr,,,Magasin de carrelage,,Magasin de carrelage,Limoges,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),39167095700029,391670957,03,43.33Z,5499,1993,,TPE,100,03,"{""firstName"": ""Béchade"", ""companyName"": ""Béchade Carrelage"", ""naf"": ""43.33Z"", ""city"": ""Limoges"", ""type"": ""Magasin de carrelage"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""391670957"", ""siret"": ""39167095700029"", ""service"": ""BTP / rénovation"", ""category"": """", ""effectif"": ""03"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Magasin de carrelage"", ""lead_score"": ""100"", ""annee_creation"": ""1993"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""03"", ""taille_entreprise"": ""TPE""}",BTP,non_valid,excluded:magasin de carrelage@BTP
01a0b094-808e-7dc7-b5d6-e4a42d2f8d34,contact@midichape.fr,Midi,,Midi Chape - Ma Carreauthèque,midichape.fr,,,Magasin de carrelage,,"Magasin de carrelage, Entrepreneur spécialisé dans les revêtements de sol",Lézignan-Corbières,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),82892558600046,828925586,02,43.33Z,5499,2017,,TPE,100,02,"{""firstName"": ""Midi"", ""companyName"": ""Midi Chape - Ma Carreauthèque"", ""naf"": ""43.33Z"", ""city"": ""Lézignan-Corbières"", ""type"": ""Magasin de carrelage"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""828925586"", ""siret"": ""82892558600046"", ""service"": ""BTP / rénovation"", ""category"": """", ""effectif"": ""02"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Magasin de carrelage, Entrepreneur spécialisé dans les revêtements de sol"", ""lead_score"": ""100"", ""annee_creation"": ""2017"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""02"", ""taille_entreprise"": ""TPE""}",BTP,non_valid,excluded:magasin de carrelage@BTP
01a0b094-808e-7dc7-b5d6-e4a991fb3e02,secretariat@sarlmiriel.fr,Miriel,,Miriel SARL,miriel.fr,,,Carreleur,,"Carreleur, Magasin de carrelage",Dinan,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),49410463100010,494104631,11,43.33Z,5499,2007,,PME,100,11,"{""firstName"": ""Miriel"", ""companyName"": ""Miriel SARL"", ""naf"": ""43.33Z"", ""city"": ""Dinan"", ""type"": ""Carreleur"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""494104631"", ""siret"": ""49410463100010"", ""service"": ""BTP / rénovation"", ""category"": """", ""effectif"": ""11"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Carreleur, Magasin de carrelage"", ""lead_score"": ""100"", ""annee_creation"": ""2007"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""11"", ""taille_entreprise"": ""PME""}",BTP,non_valid,excluded:magasin de carrelage@BTP
01a0b094-808e-7dc7-b5d6-e4b004a3885b,contact@constructions-muretaines.com,Constructions,,Constructions Muretaines : Constructeur Maison Muret,constructions-muretaines.fr,,,Constructeur de maisons personnalisées,,"Constructeur de maisons personnalisées, Architecte, Maçon, Entreprise de construction, Constructeur immobilier, Promoteur immobilier, Société de construction de piscine",Muret,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),43293696100023,432936961,11,43.99C,5499,2000,,PME,100,11,"{""firstName"": ""Constructions"", ""companyName"": ""Constructions Muretaines : Constructeur Maison Muret"", ""naf"": ""43.99C"", ""city"": ""Muret"", ""type"": ""Constructeur de maisons personnalisées"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""432936961"", ""siret"": ""43293696100023"", ""service"": ""BTP / rénovation"", ""category"": """", ""effectif"": ""11"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Constructeur de maisons personnalisées, Architecte, Maçon, Entreprise de construction, Constructeur immobilier, Promoteur immobilier, Société de construction de piscine"", ""lead_score"": ""100"", ""annee_creation"": ""2000"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""11"", ""taille_entreprise"": ""PME""}",BTP,non_valid,excluded:architecte@BTP
01a0b172-3e8d-7d88-9780-a851f9f4f70c,d.aras@dcb-batiment.com,DCB,,DCB,dcb-batiment.com,,,Constructeur immobilier,Constructeur immobilier,Constructeur immobilier,Morsang-sur-Orge,BTP / rénovation,BTP PME 3-15 salariés (France),BTP PME 3-15 salariés (France),83834958700025,838349587,02,43.99C,5499,2018,,TPE,85,02,"{""firstName"": ""DCB"", ""companyName"": ""DCB"", ""naf"": ""43.99C"", ""city"": ""Morsang-sur-Orge"", ""type"": ""Constructeur immobilier"", ""niche"": ""BTP PME 3-15 salariés (France)"", ""siren"": ""838349587"", ""siret"": ""83834958700025"", ""service"": ""BTP / rénovation"", ""category"": ""Constructeur immobilier"", ""effectif"": ""02"", ""subniche"": ""BTP PME 3-15 salariés (France)"", ""subtypes"": ""Constructeur immobilier"", ""lead_score"": ""85"", ""annee_creation"": ""2018"", ""forme_juridique"": ""5499"", ""chiffre_affaires"": """", ""tranche_effectif"": ""02"", ""taille_entreprise"": ""TPE""}",BTP,non_valid,excluded:constructeur immobilier@BTP
01a0b4f8-3014-7f65-9e31-d3fb67354a7f,contact@drhaffani.com,Dr,,Dr HAFFANI Slim,drhaffani.com,,,Dentiste,,"Dentiste, Parodontiste spécialiste des implants dentaires, Cabinet d'implants dentaires, Laboratoire dentaire, Urgences dentaires, Endodontiste, Orthodontiste, Service de blanchiment des dents",Cannes,Chirurgie dentaire,Chirurgiens-dentistes (France),Chirurgiens-dentistes (France),,,,,,,,,,,"{""firstName"": ""Dr"", ""companyName"": ""Dr HAFFANI Slim"", ""naf"": """", ""city"": ""Cannes"", ""link"": """", ""type"": ""Dentiste"", ""niche"": ""Chirurgiens-dentistes (France)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Chirurgie dentaire"", ""category"": """", ""effectif"": """", ""subniche"": ""Chirurgiens-dentistes (France)"", ""subtypes"": ""Dentiste, Parodontiste spécialiste des implants dentaires, Cabinet d'implants dentaires, Laboratoire dentaire, Urgences dentaires, Endodontiste, Orthodontiste, Service de blanchiment des dents"", ""lead_score"": """", ""jum_segment"": ""dentiste"", ""confirm_link"": ""https://www.hercule.dev/confirm-reservation-jum.html/gfSsRM?email=contact%40drhaffani.com"", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_jum_link"": ""https://www.hercule.dev/reservation-jum.html/gfSsRM"", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation-jum.html/gfSsRM?email=contact%40drhaffani.com"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-jum.html/gfSsRM""}",DENTISTE,non_valid,excluded:laboratoire dentaire@DENTISTE
01a0b4f8-3014-7f65-9e31-d4210818df21,contact@utrca.net,Cabinet,,Cabinet Dentaire Mutualiste,servicesetsantemutualistes.fr/dentaire,,,Dentiste,Dentiste,"Dentiste, Mutuelle de santé",Charleville-Mézières,Chirurgie dentaire,Chirurgiens-dentistes (France),Chirurgiens-dentistes (France),,,,,,,,,,,"{""firstName"": ""Cabinet"", ""companyName"": ""Cabinet Dentaire Mutualiste"", ""naf"": """", ""city"": ""Charleville-Mézières"", ""link"": """", ""type"": ""Dentiste"", ""niche"": ""Chirurgiens-dentistes (France)"", ""siren"": """", ""siret"": """", ""statut"": ""NOTBOOKED"", ""service"": ""Chirurgie dentaire"", ""category"": ""Dentiste"", ""effectif"": """", ""subniche"": ""Chirurgiens-dentistes (France)"", ""subtypes"": ""Dentiste, Mutuelle de santé"", ""lead_score"": """", ""jum_segment"": ""dentiste"", ""confirm_link"": ""https://www.hercule.dev/confirm-reservation-jum.html/ktQxae?email=contact%40utrca.net"", ""tracking_url"": """", ""annee_creation"": """", ""forme_juridique"": """", ""chiffre_affaires"": """", ""tranche_effectif"": """", ""taille_entreprise"": """", ""reservation_jum_link"": ""https://www.hercule.dev/reservation-jum.html/ktQxae"", ""reservation_agence_link"": """", ""confirmation_agence_link"": ""https://www.hercule.dev/confirm-reservation-jum.html/ktQxae?email=contact%40utrca.net"", ""reservation_entreprise_link"": ""https://www.hercule.dev/reservation-jum.html/ktQxae""}",DENTISTE,non_valid,excluded:mutuelle@DENTISTE
